"행정구역","2025년01월_총인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율"
"서울특별시  (1100000000)","9,330,658","4,482,949","          2.08","4,504,432","4,826,226","          0.93"
"서울특별시 종로구 (1111000000)","138,208","72,156","          1.92","66,514","71,694","          0.93"
"서울특별시 중구 (1114000000)","120,325","64,933","          1.85","57,948","62,377","          0.93"
"서울특별시 용산구 (1117000000)","203,727","103,204","          1.97","97,392","106,335","          0.92"
"서울특별시 성동구 (1120000000)","273,549","131,857","          2.07","132,354","141,195","          0.94"
"서울특별시 광진구 (1121500000)","331,589","169,878","          1.95","158,992","172,597","          0.92"
"서울특별시 동대문구 (1123000000)","338,822","172,811","          1.96","165,648","173,174","          0.96"
"서울특별시 중랑구 (1126000000)","378,971","188,637","          2.01","185,333","193,638","          0.96"
"서울특별시 성북구 (1129000000)","420,710","196,178","          2.14","201,577","219,133","          0.92"
"서울특별시 강북구 (1130500000)","283,293","143,035","          1.98","136,674","146,619","          0.93"
"서울특별시 도봉구 (1132000000)","303,057","138,769","          2.18","146,548","156,509","          0.94"
"서울특별시 노원구 (1135000000)","490,307","217,328","          2.26","234,936","255,371","          0.92"
"서울특별시 은평구 (1138000000)","460,738","215,398","          2.14","218,101","242,637","          0.90"
"서울특별시 서대문구 (1141000000)","302,297","145,914","          2.07","143,239","159,058","          0.90"
"서울특별시 마포구 (1144000000)","360,981","180,980","          1.99","168,088","192,893","          0.87"
"서울특별시 양천구 (1147000000)","430,618","180,118","          2.39","209,958","220,660","          0.95"
"서울특별시 강서구 (1150000000)","555,518","273,773","          2.03","265,867","289,651","          0.92"
"서울특별시 구로구 (1153000000)","387,510","183,840","          2.11","189,651","197,859","          0.96"
"서울특별시 금천구 (1154500000)","224,924","121,026","          1.86","113,054","111,870","          1.01"
"서울특별시 영등포구 (1156000000)","373,307","192,170","          1.94","182,615","190,692","          0.96"
"서울특별시 동작구 (1159000000)","375,456","186,838","          2.01","181,356","194,100","          0.93"
"서울특별시 관악구 (1162000000)","477,940","286,279","          1.67","240,565","237,375","          1.01"
"서울특별시 서초구 (1165000000)","408,324","170,701","          2.39","194,124","214,200","          0.91"
"서울특별시 강남구 (1168000000)","557,115","244,962","          2.27","266,239","290,876","          0.92"
"서울특별시 송파구 (1171000000)","649,071","286,796","          2.26","311,160","337,911","          0.92"
"서울특별시 강동구 (1174000000)","484,301","215,368","          2.25","236,499","247,802","          0.95"
"부산광역시  (2600000000)","3,263,891","1,569,695","          2.08","1,588,357","1,675,534","          0.95"
"부산광역시 중구 (2611000000)","37,469","23,509","          1.59","18,209","19,260","          0.95"
"부산광역시 서구 (2614000000)","103,065","53,584","          1.92","49,454","53,611","          0.92"
"부산광역시 동구 (2617000000)","85,857","47,040","          1.83","41,669","44,188","          0.94"
"부산광역시 영도구 (2620000000)","103,503","53,560","          1.93","50,766","52,737","          0.96"
"부산광역시 부산진구 (2623000000)","359,150","184,230","          1.95","171,994","187,156","          0.92"
"부산광역시 동래구 (2626000000)","274,843","122,410","          2.25","132,444","142,399","          0.93"
"부산광역시 남구 (2629000000)","253,970","119,408","          2.13","123,515","130,455","          0.95"
"부산광역시 북구 (2632000000)","267,287","122,321","          2.19","131,133","136,154","          0.96"
"부산광역시 해운대구 (2635000000)","376,213","169,837","          2.22","180,186","196,027","          0.92"
"부산광역시 사하구 (2638000000)","292,117","140,573","          2.08","144,881","147,236","          0.98"
"부산광역시 금정구 (2641000000)","209,326","104,496","          2.00","101,891","107,435","          0.95"
"부산광역시 강서구 (2644000000)","142,869","62,436","          2.29","73,992","68,877","          1.07"
"부산광역시 연제구 (2647000000)","212,566","99,571","          2.13","101,515","111,051","          0.91"
"부산광역시 수영구 (2650000000)","171,871","88,118","          1.95","80,418","91,453","          0.88"
"부산광역시 사상구 (2653000000)","198,258","99,415","          1.99","99,327","98,931","          1.00"
"부산광역시 기장군 (2671000000)","175,527","79,187","          2.22","86,963","88,564","          0.98"
"대구광역시  (2700000000)","2,363,281","1,104,490","          2.14","1,159,235","1,204,046","          0.96"
"대구광역시 중구 (2711000000)","98,112","48,972","          2.00","46,959","51,153","          0.92"
"대구광역시 동구 (2714000000)","342,133","164,871","          2.08","167,334","174,799","          0.96"
"대구광역시 서구 (2717000000)","162,815","84,179","          1.93","80,662","82,153","          0.98"
"대구광역시 남구 (2720000000)","136,642","75,367","          1.81","65,179","71,463","          0.91"
"대구광역시 북구 (2723000000)","412,347","191,556","          2.15","204,215","208,132","          0.98"
"대구광역시 수성구 (2726000000)","409,676","174,897","          2.34","197,089","212,587","          0.93"
"대구광역시 달서구 (2729000000)","521,673","237,488","          2.20","255,670","266,003","          0.96"
"대구광역시 달성군 (2771000000)","257,469","113,775","          2.26","130,531","126,938","          1.03"
"대구광역시 군위군 (2772000000)","22,414","13,385","          1.67","11,596","10,818","          1.07"
"인천광역시  (2800000000)","3,023,649","1,375,788","          2.20","1,510,615","1,513,034","          1.00"
"인천광역시 중구 (2811000000)","168,271","84,410","          1.99","87,070","81,201","          1.07"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","58,162","27,750","          2.10","29,143","29,019","          1.00"
"인천광역시 미추홀구 (2817700000)","412,621","201,203","          2.05","207,592","205,029","          1.01"
"인천광역시 연수구 (2818500000)","400,461","163,884","          2.44","198,189","202,272","          0.98"
"인천광역시 남동구 (2820000000)","485,702","224,930","          2.16","240,980","244,722","          0.98"
"인천광역시 부평구 (2823700000)","493,853","225,553","          2.19","242,819","251,034","          0.97"
"인천광역시 계양구 (2824500000)","279,685","127,621","          2.19","139,075","140,610","          0.99"
"인천광역시 서구 (2826000000)","635,553","272,493","          2.33","319,743","315,810","          1.01"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,439","35,643","          1.95","34,719","34,720","          1.00"
"인천광역시 옹진군 (2872000000)","19,902","12,301","          1.62","11,285","8,617","          1.31"
"광주광역시  (2900000000)","1,407,097","657,716","          2.14","694,532","712,565","          0.97"
"광주광역시 동구 (2911000000)","105,910","55,184","          1.92","52,047","53,863","          0.97"
"광주광역시 서구 (2914000000)","278,614","132,630","          2.10","136,301","142,313","          0.96"
"광주광역시 남구 (2915500000)","208,004","95,626","          2.18","99,428","108,576","          0.92"
"광주광역시 북구 (2917000000)","423,403","202,339","          2.09","209,308","214,095","          0.98"
"광주광역시 광산구 (2920000000)","391,166","171,937","          2.28","197,448","193,718","          1.02"
"대전광역시  (3000000000)","1,438,974","687,941","          2.09","717,162","721,812","          0.99"
"대전광역시 동구 (3011000000)","219,439","111,384","          1.97","110,469","108,970","          1.01"
"대전광역시 중구 (3014000000)","224,881","108,283","          2.08","110,241","114,640","          0.96"
"대전광역시 서구 (3017000000)","457,758","217,252","          2.11","224,301","233,457","          0.96"
"대전광역시 유성구 (3020000000)","369,111","170,125","          2.17","186,961","182,150","          1.03"
"대전광역시 대덕구 (3023000000)","167,785","80,897","          2.07","85,190","82,595","          1.03"
"울산광역시  (3100000000)","1,097,821","495,677","          2.21","564,893","532,928","          1.06"
"울산광역시 중구 (3111000000)","206,883","94,855","          2.18","104,699","102,184","          1.02"
"울산광역시 남구 (3114000000)","304,922","141,500","          2.15","155,828","149,094","          1.05"
"울산광역시 동구 (3117000000)","150,761","68,126","          2.21","78,671","72,090","          1.09"
"울산광역시 북구 (3120000000)","216,375","89,173","          2.43","112,292","104,083","          1.08"
"울산광역시 울주군 (3171000000)","218,880","102,023","          2.15","113,403","105,477","          1.08"
"세종특별자치시  (3600000000)","390,910","163,404","          2.39","194,470","196,440","          0.99"
"세종특별자치시  (3611000000)","390,910","163,404","          2.39","194,470","196,440","          0.99"
"경기도  (4100000000)","13,699,647","6,062,570","          2.26","6,884,215","6,815,432","          1.01"
"경기도 수원시 (4111000000)","1,192,256","540,621","          2.21","599,280","592,976","          1.01"
"경기도 수원시 장안구 (4111100000)","274,216","122,570","          2.24","137,474","136,742","          1.01"
"경기도 수원시 권선구 (4111300000)","362,591","164,758","          2.20","183,150","179,441","          1.02"
"경기도 수원시 팔달구 (4111500000)","194,389","97,940","          1.98","97,791","96,598","          1.01"
"경기도 수원시 영통구 (4111700000)","361,060","155,353","          2.32","180,865","180,195","          1.00"
"경기도 성남시 (4113000000)","912,708","410,181","          2.23","451,277","461,431","          0.98"
"경기도 성남시 수정구 (4113100000)","234,721","116,771","          2.01","118,612","116,109","          1.02"
"경기도 성남시 중원구 (4113300000)","206,790","100,551","          2.06","104,303","102,487","          1.02"
"경기도 성남시 분당구 (4113500000)","471,197","192,859","          2.44","228,362","242,835","          0.94"
"경기도 의정부시 (4115000000)","461,142","210,392","          2.19","226,410","234,732","          0.96"
"경기도 안양시 (4117000000)","557,962","235,947","          2.36","275,133","282,829","          0.97"
"경기도 안양시 만안구 (4117100000)","230,510","103,270","          2.23","114,894","115,616","          0.99"
"경기도 안양시 동안구 (4117300000)","327,452","132,677","          2.47","160,239","167,213","          0.96"
"경기도 부천시 (4119000000)","769,084","343,393","          2.24","379,519","389,565","          0.97"
"경기도 부천시 원미구 (4119200000)","389,501","174,608","          2.23","191,205","198,296","          0.96"
"경기도 부천시 소사구 (4119400000)","227,754","99,141","          2.30","111,721","116,033","          0.96"
"경기도 부천시 오정구 (4119600000)","151,829","69,644","          2.18","76,593","75,236","          1.02"
"경기도 광명시 (4121000000)","279,805","115,826","          2.42","137,075","142,730","          0.96"
"경기도 평택시 (4122000000)","599,138","285,490","          2.10","314,577","284,561","          1.11"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","86,807","43,117","          2.01","43,260","43,547","          0.99"
"경기도 안산시 (4127000000)","619,381","287,811","          2.15","317,278","302,103","          1.05"
"경기도 안산시 상록구 (4127100000)","326,380","151,545","          2.15","166,624","159,756","          1.04"
"경기도 안산시 단원구 (4127300000)","293,001","136,266","          2.15","150,654","142,347","          1.06"
"경기도 고양시 (4128000000)","1,069,131","466,009","          2.29","520,912","548,219","          0.95"
"경기도 고양시 덕양구 (4128100000)","492,667","220,907","          2.23","241,671","250,996","          0.96"
"경기도 고양시 일산동구 (4128500000)","293,813","129,931","          2.26","142,589","151,224","          0.94"
"경기도 고양시 일산서구 (4128700000)","282,651","115,171","          2.45","136,652","145,999","          0.94"
"경기도 과천시 (4129000000)","85,501","30,872","          2.77","41,736","43,765","          0.95"
"경기도 구리시 (4131000000)","186,868","81,318","          2.30","92,460","94,408","          0.98"
"경기도 남양주시 (4136000000)","732,191","307,429","          2.38","362,441","369,750","          0.98"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","242,618","111,209","          2.18","126,453","116,165","          1.09"
"경기도 시흥시 (4139000000)","517,511","229,141","          2.26","269,669","247,842","          1.09"
"경기도 군포시 (4141000000)","255,533","112,222","          2.28","126,775","128,758","          0.98"
"경기도 의왕시 (4143000000)","154,351","62,747","          2.46","76,404","77,947","          0.98"
"경기도 하남시 (4145000000)","328,875","141,264","          2.33","163,452","165,423","          0.99"
"경기도 용인시 (4146000000)","1,087,144","444,269","          2.45","538,630","548,514","          0.98"
"경기도 용인시 처인구 (4146100000)","275,471","125,553","          2.19","141,061","134,410","          1.05"
"경기도 용인시 기흥구 (4146300000)","435,900","176,180","          2.47","214,716","221,184","          0.97"
"경기도 용인시 수지구 (4146500000)","375,773","142,536","          2.64","182,853","192,920","          0.95"
"경기도 파주시 (4148000000)","513,627","226,886","          2.26","259,434","254,193","          1.02"
"경기도 이천시 (4150000000)","222,420","105,601","          2.11","116,032","106,388","          1.09"
"경기도 안성시 (4155000000)","194,007","94,852","          2.05","100,275","93,732","          1.07"
"경기도 김포시 (4157000000)","486,651","206,362","          2.36","242,823","243,828","          1.00"
"경기도 화성시 (4159000000)","971,835","418,695","          2.32","504,386","467,449","          1.08"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0","          0.00"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0","          0.00"
"경기도 광주시 (4161000000)","397,410","174,796","          2.27","202,553","194,857","          1.04"
"경기도 양주시 (4163000000)","289,527","128,640","          2.25","145,726","143,801","          1.01"
"경기도 포천시 (4165000000)","141,444","73,141","          1.93","74,760","66,684","          1.12"
"경기도 여주시 (4167000000)","114,562","56,456","          2.03","58,338","56,224","          1.04"
"경기도 연천군 (4180000000)","40,894","21,775","          1.88","21,405","19,489","          1.10"
